disk_id,ds,model,n_1,r_1,n_2,r_2,n_3,r_3,n_4,r_4,n_5,r_5,n_6,r_6,n_7,r_7,n_8,r_8,n_9,r_9,n_10,r_10,n_11,r_11,n_12,r_12,n_13,r_13,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_189,r_189,n_190,r_190,n_191,r_191,n_192,r_192,n_193,r_193,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_200,r_200,n_204,r_204,n_205,r_205,n_206,r_206,n_207,r_207,n_211,r_211,n_233,r_233,n_240,r_240,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,n_175,r_175,n_232,r_232,failure_time
33722,20180102,MA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-02 19:15:32
39876,20180103,MA1,130.0,4294967295.0,,,,,,,98.0,0.0,,,,,,,100.0,30522.0,,,,,100.0,33.0,,,,,100.0,0.0,100.0,0.0,1.0,0.0,100.0,31.0,,,130.0,4294967295.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,,,84.0,16.0,,,,,,,100.0,16.0,100.0,523030.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,773675745904.0,,,2018-01-03 03:29:27
26378,20180103,MA1,130.0,4294967295.0,,,,,,,97.0,0.0,,,,,,,100.0,12109.0,,,,,,,,,,,,,,,81.0,0.0,,,,,130.0,4294967295.0,,,,,,,,,,,,,,,,,,,,,,,100.0,19.0,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,313586221711.0,,,2018-01-03 03:23:44
199348,20180103,MC1,100.0,0.0,,,,,,,100.0,0.0,,,,,,,100.0,431.0,,,,,100.0,19.0,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,17.0,,,0.0,13363.0,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,13.0,,,,,,,,,,,75.0,25.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2018-01-03 05:03:03
10507,20180104,MA1,130.0,4294967295.0,,,,,,,98.0,0.0,,,,,,,100.0,31857.0,,,,,100.0,31.0,,,,,100.0,0.0,100.0,0.0,87.0,0.0,100.0,29.0,,,130.0,4294967295.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,,,87.0,13.0,,,,,,,100.0,13.0,100.0,743763928.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,811865669633.0,,,2018-01-04 03:19:14
14398,20180104,MC1,100.0,250.0,,,,,,,100.0,49.0,,,,,,,100.0,5220.0,,,,,100.0,29.0,,,100.0,49.0,100.0,0.0,100.0,0.0,100.0,6.0,100.0,25.0,,,0.0,13314.0,,,,,100.0,0.0,100.0,0.0,100.0,1.0,100.0,65.0,,,,,,,,,,,76.0,24.0,100.0,0.0,100.0,49.0,100.0,0.0,100.0,1.0,100.0,0.0,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2018-01-04 06:30:47
41792,20180105,MA1,130.0,4294967295.0,,,,,,,98.0,0.0,,,,,,,100.0,27884.0,,,,,100.0,28.0,,,,,100.0,0.0,100.0,0.0,1.0,0.0,100.0,26.0,,,130.0,4294967295.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,,,81.0,19.0,,,,,,,100.0,19.0,100.0,2906762668.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,708676616817.0,,,2018-01-05 03:01:17
22058,20180105,MA1,130.0,4294967295.0,,,,,,,98.0,0.0,,,,,,,100.0,31914.0,,,,,100.0,35.0,,,,,100.0,0.0,100.0,0.0,1.0,0.0,100.0,33.0,,,130.0,4294967295.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,,,81.0,19.0,,,,,,,100.0,19.0,100.0,752279996.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,803798450786.0,,,2018-01-05 03:00:19
20611,20180106,MC1,100.0,3031.0,,,,,,,100.0,12.0,,,,,,,100.0,5963.0,,,,,100.0,17.0,,,100.0,12.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,13.0,,,0.0,13351.0,,,,,100.0,0.0,100.0,0.0,100.0,2854.0,100.0,53.0,,,,,,,,,,,74.0,26.0,100.0,0.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2018-01-06 03:04:14
165949,20180106,MC1,100.0,670.0,,,,,,,100.0,15.0,,,,,,,100.0,5963.0,,,,,100.0,17.0,,,100.0,15.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,13.0,,,0.0,13348.0,,,,,100.0,0.0,100.0,0.0,100.0,608.0,100.0,52.0,,,,,,,,,,,73.0,27.0,100.0,0.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2018-01-06 03:04:14
